Married,NumberOfChildren,Address,CreditCardNumber,CreditCardExpirationDate,CreditCardCVC,DrivingLicenseDateObtained,DrivingLicenseAgeObtained
False,1,"755, boulevard Hervé
14743 Verdier-sur-Wagner",3050-4630-1785-7718,2/24,475,2020-06-22,24.00273785078713
True,2,"13, avenue Ferrand
33940 Julien",6980-9775-3829-7499,10/24,765,1989-08-29,28.91170431211499
False,2,"boulevard Baudry
47839 Leroy",6044-8128-2339-6436,1/24,162,2020-08-17,23.567419575633128
True,0,"138, rue de Thierry
03898 Grégoire-les-Bains",4230-1418-5549-4851,5/24,274,1997-04-24,23.83025325119781
False,1,"rue de Gillet
18764 Clercboeuf",3606-2066-4906-8211,2/25,276,2008-11-16,51.24161533196441
False,2,"boulevard de Martel
62366 Albert-la-Forêt",7232-3176-4293-1332,10/25,684,1989-02-22,22.899383983572896
True,2,"21, chemin Louis Seguin
05141 Rogernec",8715-6359-5829-4023,3/25,400,2012-01-31,34.71321013004791
True,0,"982, chemin de Gallet
04136 Sainte Lucieboeuf",7035-9228-1555-5966,1/25,382,2021-11-08,24.008213552361397
True,2,"6, boulevard de Monnier
94130 Martin",1593-6465-6193-3184,2/24,165,2010-03-19,45.492128678986994
True,2,"109, rue Guillaume Tessier
32838 Sainte Thibaultnec",2737-4926-7879-6146,1/24,306,2013-09-15,35.72621492128679
False,3,"95, chemin Mathilde Wagner
63645 Saint Anaïs",1900-8296-8152-7711,11/24,992,2006-12-09,37.229295003422315
True,1,"627, avenue de Pruvost
31764 Sanchez-sur-Buisson",8250-1245-7948-4693,3/24,094,2017-07-30,43.50444900752909
False,1,"6, chemin de Dufour
97623 Gomez-sur-Mer",5902-1894-1960-2506,8/24,841,2019-03-06,39.493497604380565
True,0,"9, rue Cousin
24707 Joseph-sur-Rousset",4120-5126-7391-9327,5/24,191,2002-11-14,18.729637234770706
True,0,"rue Tessier
40402 Pires",7928-4913-5103-5418,2/25,749,2022-10-16,54.43394934976044
True,1,"24, rue Susan Reynaud
51856 Riou",8158-1914-7340-7602,8/25,453,2016-11-23,19.63586584531143
True,2,"12, rue Julien Morvan
63320 Saint Aimé",9994-6667-7221-8007,2/25,482,2021-01-26,20.61327857631759
False,1,"72, rue de Pasquier
92525 Dumas-sur-Mathieu",7285-2343-4774-7123,11/25,614,2011-09-13,19.156741957563312
True,1,"4, avenue de Foucher
35378 Hamon",8959-8513-5093-4642,5/25,397,1998-01-14,41.021218343600275
False,0,"rue de Perrot
36285 Sainte Alexandria",6952-3400-8144-7689,3/24,451,2022-08-09,31.77549623545517
False,1,"rue Guillot
59510 Legrand",5330-7764-2697-2524,8/25,897,2008-09-20,29.4839151266256
False,0,"chemin de Léger
73622 Bouchet",5113-1432-9237-9635,2/25,041,1987-06-09,24.06297056810404
False,3,"82, rue de Weber
89444 Bourdon",6957-5838-8484-7764,9/25,049,2020-04-04,22.217659137577
True,2,"19, rue Jacquot
83937 Simonnec",1632-2186-8192-8768,4/25,936,2011-07-09,47.860369609856264
True,0,"222, boulevard Arnaude Simon
48941 Sainte Marianne-la-Forêt",1644-5995-5068-4240,11/24,657,2010-03-18,26.72142368240931
False,3,"514, chemin Marianne David
18607 Valette-sur-Mer",7790-6970-5347-9213,1/25,138,2000-12-18,26.680355920602327
False,0,"55, chemin de Bertrand
78102 Sainte Dominique-la-Forêt",9591-8149-9967-5490,3/25,814,1998-02-26,25.453798767967147
True,1,"26, avenue Joly
57936 Louisdan",8532-2765-7382-3496,4/25,278,2007-05-14,25.464750171115675
False,1,"42, rue Anouk Le Gall
34608 Godard",2192-1440-7422-2803,5/25,685,2021-03-13,19.293634496919918
False,1,"276, chemin Alix Carlier
20169 Royer",5845-5631-6837-1192,10/24,334,2002-06-28,23.72347707049966
True,1,"777, avenue Chrétien
50442 Brunet-les-Bains",3324-2053-8874-1664,6/25,365,2002-06-30,36.56947296372348
True,0,"56, avenue de Rocher
27870 Saint Tristan-sur-Mer",7298-8704-8159-6432,12/24,329,2011-09-03,18.792607802874745
True,1,"57, rue Carpentier
73390 Mace-les-Bains",8875-4689-3334-5641,9/25,911,2018-07-28,22.203969883641342
True,2,"49, rue Jean Rodrigues
26904 RouxVille",7063-1965-9907-8973,7/25,899,1992-03-17,31.860369609856264
True,1,"5, boulevard de Fernandez
84991 Becker",2793-1626-2740-8341,7/25,393,2021-02-16,31.50171115674196
False,1,"46, boulevard Allain
60854 Sainte Nathalie",6217-8704-2228-9785,11/24,867,2006-12-08,18.548939082819988
False,2,"70, rue de Pierre
42228 Morvan",9289-8699-9994-9191,12/25,930,2022-09-29,20.862422997946613
False,1,"rue Dupré
90879 Le Roux",4379-6162-2426-3101,1/25,534,2018-09-07,19.592060232717316
True,2,"93, rue Benjamin Jourdan
27229 Lévêque",5277-9558-4091-6257,9/25,704,2005-10-28,18.85284052019165
True,0,"90, rue de Gaudin
31996 Lemaire",2450-2207-4304-7165,8/25,379,2015-01-20,35.507186858316224
True,3,"477, boulevard Claudine Guillot
35618 Berger",5961-4974-1849-9271,2/25,205,2021-02-03,18.740588637919235
False,1,"419, avenue de Parent
83583 Saint SébastienBourg",8442-9719-6665-1632,8/24,478,2021-12-03,23.24435318275154
False,2,"43, rue de Jacquet
01410 Jourdan-sur-Guyon",3310-3852-4243-8400,1/25,338,2010-08-01,34.04791238877481
True,0,"57, chemin Emmanuel Hebert
48452 Maréchal-les-Bains",6243-6104-9646-7329,7/25,220,2021-06-21,47.29363449691992
True,1,"34, boulevard Robin
94462 Allard",7355-2447-8022-9885,10/25,013,2007-07-29,43.73716632443532
True,0,"11, avenue de Hamel
37948 Marchand",5311-7722-4360-4270,2/24,712,2018-01-28,29.09514031485284
False,0,"56, rue de Colas
61906 Saint Amélie",3061-6418-6177-7867,7/25,122,2021-08-20,35.34017796030116
True,1,"boulevard Baudry
85418 Brun",9376-4422-5621-5464,3/25,274,2009-03-21,20.33675564681725
True,1,"boulevard de Renard
56511 Bourdon",3978-9516-8449-9518,12/25,025,2022-03-16,18.847364818617386
True,0,"27, rue de Berthelot
70724 Jacquot",4192-3558-3941-5519,7/24,651,2012-01-30,34.053388090349074
True,0,"344, rue Mahe
48743 Sainte Aiméedan",5244-9009-3182-9269,5/25,716,2018-08-07,30.77618069815195
True,3,"avenue de Peron
62691 Thibault",4234-6686-3982-6252,6/25,685,2021-11-13,35.98904859685147
False,0,"29, chemin Launay
17320 Teixeiranec",8525-2822-4103-7124,11/24,988,2009-10-26,41.84804928131417
False,2,"332, avenue de Guilbert
12944 Saint Élodiedan",6339-7081-8793-4349,2/24,379,2014-12-27,56.89801505817933
True,0,"254, rue Patrick Leclercq
11239 Vaillant",6001-6229-9835-6255,12/25,251,2001-04-28,22.611909650924023
False,0,"80, boulevard Jeannine Lopes
53965 MauryVille",9145-9465-2814-6178,5/24,712,2017-11-27,40.662559890485966
True,0,"30, avenue de Lemaire
76777 Saint Isaac-sur-Mer",4850-4201-7247-9822,9/25,989,2021-03-16,18.527036276522928
True,0,"92, rue Guillaume Bonneau
87120 Texier",5242-7242-9714-3962,3/25,428,2011-05-07,18.028747433264886
True,0,"98, rue de Paul
97647 Saint Odette-les-Bains",9239-5318-6188-8920,3/24,262,2020-08-14,21.897330595482547
False,4,"648, rue Bernier
53695 Schmitt",6492-8151-9321-7268,2/24,281,2001-03-17,26.47501711156742
False,1,"65, rue Laurent
32639 Tessier",7590-6875-4326-5417,12/24,973,2006-02-01,20.251882272416154
True,1,"5, avenue Suzanne Petit
90680 Lelièvre",2102-1401-9418-5759,7/25,553,2021-01-29,44.72553045859001
True,0,"chemin Durand
51167 Andre",3482-1283-4485-2362,11/25,112,2005-10-06,33.620807665982205
False,0,"9, rue Marcelle Payet
97647 Laroche",1792-6490-2765-4731,12/25,707,2018-03-31,18.99247091033539
False,0,"2, boulevard Sophie Lebon
35282 Toussaint",2069-7798-3209-4551,12/25,402,2016-09-24,29.71937029431896
False,0,"94, avenue Barbier
84425 Vaillant-sur-Evrard",2722-7097-9272-2931,12/25,613,2021-12-26,25.409993155373034
True,0,"39, chemin Isaac Robin
83723 NeveuVille",4582-6548-7041-6479,1/25,945,2000-02-28,20.57221081451061
True,2,"208, avenue Adèle Maury
07330 Dupuy-sur-Mer",9913-5502-7942-8106,9/24,361,1995-11-01,25.949349760438057
False,1,"43, avenue Arnaude Fischer
58256 Gilles",1589-4033-7548-9418,11/25,805,2006-11-23,51.827515400410675
True,0,"chemin de Marie
20355 Monnier",1798-6786-2567-3296,2/24,184,1995-04-17,21.177275838466805
True,1,"rue de Bonnet
21716 Valentindan",8431-7648-8269-7047,12/25,504,2014-01-01,18.247775496235455
True,2,"745, avenue Alfred Neveu
41543 Saint Christiane",2581-3562-3924-3364,2/25,782,2006-05-24,20.878850102669404
True,0,"avenue Matthieu Rocher
27311 Sainte Raymond",4214-6076-8708-6363,2/24,229,2018-06-11,20.306639288158795
True,1,"boulevard Timothée Giraud
09487 Dumont",9725-5678-2247-2984,7/24,365,1998-01-23,20.48186173853525
False,0,"47, rue Cohen
85550 Weber",7558-4797-1569-2564,2/25,213,1993-02-07,22.431211498973305
True,1,"96, rue de Neveu
36208 BaillyBourg",9923-4285-2239-3006,11/25,701,2013-05-03,36.61875427789185
False,1,"3, rue de Chevallier
07966 Moreno-sur-Roussel",9709-5629-9185-4449,1/24,094,2021-07-15,58.41204654346338
True,2,"70, rue de Royer
75899 Bernierboeuf",1370-7217-8843-8507,9/25,482,1993-10-06,19.72347707049966
True,0,"74, rue de Gros
39486 Lemonnierdan",7298-9226-6376-8735,3/25,617,2021-06-22,40.120465434633815
True,4,"10, rue Paul
11545 Joubertboeuf",2281-7909-8971-5743,12/24,658,2020-08-17,21.607118412046542
True,1,"41, avenue Victoire Bonnet
45133 Henry",2162-8681-1813-5065,7/25,947,2018-04-21,22.647501711156742
True,0,"28, rue de Blanchet
89958 MauriceVille",9463-2521-3851-5914,1/24,795,2022-04-12,23.51813826146475
False,0,"98, avenue de Michel
23601 DupuyVille",8504-1749-8417-3278,10/25,319,2022-03-25,22.537987679671456
True,0,"3, boulevard de Payet
82323 MauryVille",4354-2362-3715-5682,7/24,446,2022-08-09,19.093771389459274
True,0,"170, chemin Gomes
22706 Sainte Henri",6569-9688-1747-7718,11/24,734,2022-06-16,23.811088295687885
True,0,"5, rue Célina Gosselin
86771 Chartier-les-Bains",7822-3338-4460-6617,9/25,086,1978-02-04,19.520876112251884
False,3,"5, rue Guyot
08983 Le Roux-sur-Millet",9902-9444-2701-6923,3/25,636,2020-04-11,34.288843258042434
True,0,"avenue Pelletier
81502 Menard",8162-8599-1558-5799,4/24,903,2008-10-14,38.68583162217659
True,1,"727, rue Jacob
12997 Allard",4702-6227-7495-6124,4/25,113,2005-12-16,39.605749486652975
True,0,"208, boulevard de Giraud
17252 Joly-sur-Masse",9791-1840-1209-8018,6/25,791,2022-03-21,19.173169062286107
True,2,"1, chemin Muller
43282 Lévêqueboeuf",8589-4537-2405-4333,3/24,767,2022-10-28,39.95893223819302
True,1,"7, boulevard Catherine Roche
71226 ClémentBourg",7756-1226-4767-2398,11/25,672,2014-10-10,51.860369609856264
False,2,"280, rue Delmas
38325 Guillon",8855-3103-5463-1949,2/25,033,2019-01-15,46.913073237508556
True,0,"92, rue de Antoine
32711 Navarro",1868-6899-7612-3100,4/24,094,2012-03-02,22.986995208761122
False,3,"9, rue De Sousa
92851 Coulon-sur-Meyer",3788-3315-1446-2960,8/24,678,2019-07-08,44.40246406570842
True,0,"46, rue Joseph Fontaine
58757 TexierVille",5904-3516-6585-8719,10/25,418,2019-12-08,47.917864476386036
False,0,"6, rue de Boulay
52969 Camus-la-Forêt",7390-4447-5809-6883,9/25,212,1990-04-17,29.281314168377822
True,0,"chemin de Duhamel
18162 GonzalezVille",4276-6926-9055-4757,6/25,617,2005-02-23,20.993839835728952
True,1,"53, chemin de Rodriguez
28869 Becker",1431-1933-7309-5709,7/25,613,2006-06-22,37.163586584531146
True,1,"987, avenue Barthelemy
14322 Lebon",5638-6176-4820-3426,11/24,304,1999-03-23,31.89596167008898
False,1,"160, rue de Martinez
77985 Robin",7793-1931-1322-4332,12/24,724,2021-11-03,26.379192334017795
False,1,"45, chemin Marianne Launay
73382 Boulanger-sur-Pons",5082-8776-8293-3783,12/24,907,2009-03-01,31.852156057494867
True,0,"32, chemin Grégoire Michaud
44372 Gilbert",7236-9446-4127-5729,7/24,340,1984-09-27,19.693360711841205
True,0,"21, boulevard Lorraine Bertin
14654 Regnier-sur-Mer",5997-2570-7415-7976,9/25,782,1985-04-28,18.22861054072553
True,0,"66, boulevard de Daniel
61738 Muller",4707-3379-4768-7130,1/24,799,2008-09-07,18.806297056810404
False,1,"36, chemin Giraud
82829 Pages-sur-Mer",3423-5064-6345-7313,6/25,024,2006-10-06,23.89322381930185
False,1,"26, chemin de Gautier
30540 Lombard",2987-5179-6304-4593,2/25,906,1992-10-06,24.528405201916495
False,1,"rue Lucas
68106 Galletnec",9158-3098-4487-9099,2/25,462,2002-05-13,25.741273100616016
True,3,"37, rue Benoît Colas
90280 Lévêque",2473-6491-6622-6170,4/25,275,2022-10-31,40.88158795345654
True,0,"chemin de Lopez
15743 Saint Lorraine-la-Forêt",9935-4275-5808-4757,4/24,624,1998-08-28,27.474332648870636
True,1,"68, avenue Da Silva
48183 Besnard",6582-6507-4964-9282,2/24,300,2021-05-06,20.413415468856947
False,1,"rue de Guillaume
72488 Moulin-sur-Mer",9048-4007-8313-4620,7/24,698,2017-04-27,34.064339493497606
True,0,"67, rue de Bousquet
30444 Bourgeois",2505-8667-7800-3228,2/25,251,2006-12-03,39.4715947980835
True,1,"25, boulevard Vidal
41657 Tanguy",4786-8082-8537-3527,8/24,967,1976-06-08,20.90075290896646
True,2,"13, avenue Mathieu
77588 Ponsboeuf",4778-5578-2987-7856,8/25,592,2014-08-04,58.65571526351814
False,3,"rue Audrey Toussaint
37418 Rousset-sur-Louis",3819-1854-5564-7694,9/24,199,2020-05-20,47.937029431895965
True,0,"5, boulevard de Besnard
01372 Philippe",5705-7681-3119-8977,6/24,340,2022-11-21,35.15400410677618
True,1,"918, avenue Martel
37654 Bègue",4692-2196-8685-5805,1/25,042,2021-10-12,25.746748802190282
False,1,"16, chemin Clément
42297 Baron",6744-7924-2090-8350,5/25,945,2021-07-26,30.89390828199863
False,0,"11, rue Jacqueline Aubert
36742 Garnier",6290-5761-5942-6002,3/24,779,2022-06-29,19.132101300479125
True,1,"chemin de Masse
11998 Nicolasdan",7656-6459-7457-5611,8/24,975,2022-04-05,21.971252566735114
True,1,"44, rue Benard
57595 Saint FrédéricVille",7211-7966-4598-9411,7/24,181,2012-08-21,30.46406570841889
True,0,"287, boulevard Lorraine Cousin
38284 Saint René",9705-3155-5744-9238,7/25,126,2013-07-05,41.30595482546201
True,0,"33, rue Deschamps
14807 Meyerdan",2015-3097-3178-4453,8/25,579,2018-11-08,59.95619438740589
True,1,"avenue Audrey Simon
06114 Lebrun",4743-2522-1588-8952,7/25,473,2022-03-10,24.44079397672827
True,0,"boulevard Le Gall
57320 Boyer",1230-5299-1239-8972,2/24,744,2018-08-22,23.548254620123203
True,0,"avenue de Ferreira
85894 Saint Émilie",7772-6554-2200-1364,1/25,903,2019-01-06,22.414784394250514
True,0,"23, rue Victor Letellier
72223 Lévy",1494-6904-4638-5464,9/24,198,1994-02-10,24.65160848733744
True,0,"rue de Chevallier
97639 Leclercq",4580-3120-4722-6155,8/24,986,2015-04-20,22.299794661190965
True,1,"544, rue de Joly
63333 CollinBourg",8164-2257-4232-8392,3/24,475,1988-03-29,32.96098562628337
True,2,"85, rue Legrand
53330 Deschamps",2629-9212-8354-1651,12/25,158,2003-03-23,31.093771389459274
True,2,"878, avenue Lucy Lemonnier
82752 Lemaire-sur-Faivre",1605-1841-9128-6271,3/24,979,1992-11-12,27.444216290212182
True,0,"79, avenue Pruvost
93369 Gros",7203-9297-9102-2122,6/24,794,1996-11-20,32.106776180698155
True,4,"8, rue de Bailly
45953 Masseboeuf",8793-9660-8381-4863,9/24,611,2017-04-02,40.610540725530456
False,0,"97, rue Rey
85425 Prévost-sur-Pascal",3200-1403-6310-7804,8/25,531,1989-05-20,23.57015742642026
True,1,"37, boulevard de Toussaint
85128 Goncalves-sur-Renault",3816-9374-7692-4551,5/24,668,2011-03-28,24.240930869267626
False,1,"5, avenue Hortense Pereira
37423 Besnard",1482-5886-4801-5299,5/24,561,1991-07-02,28.56125941136208
False,3,"82, chemin de Guyon
65722 Lejeune",3052-3608-6544-8053,11/24,227,1993-01-17,35.449691991786445
False,3,"66, chemin Benoît Sauvage
16894 Guillet",3520-1210-6758-4595,1/24,783,2014-12-08,20.87337440109514
True,1,"avenue Didier
18799 Delmas-sur-Mer",5653-6560-9748-3223,12/25,088,2000-05-13,24.295687885010267
False,2,"52, rue de Leconte
94117 Sainte Georges-les-Bains",6659-3943-6101-3361,5/25,540,1988-05-24,25.35523613963039
False,2,"73, avenue Michaud
85393 Ollivier",6486-2081-9757-5508,1/24,371,1986-01-12,21.53593429158111
True,1,"boulevard Virginie Collet
97368 Sainte Clémence",4956-9410-7968-9866,7/24,809,2021-06-27,60.506502395619435
False,0,"495, chemin Lombard
19325 PerezBourg",5452-6804-1517-7288,3/25,040,1993-04-28,24.123203285420946
True,1,"60, chemin Charlotte Verdier
06953 De Sousa-sur-Godard",1883-5635-1747-4674,1/24,143,2002-04-21,33.998631074606436
False,1,"770, avenue Sylvie Moulin
10844 Saint Michelle",7193-4344-3079-8217,7/24,732,2013-05-08,54.743326488706366
True,3,"chemin de Delattre
91672 Blondel-sur-Jourdan",8131-2815-3002-4814,2/25,289,2003-10-15,21.6290212183436
True,0,"497, chemin Adélaïde Brun
68793 Bruneaunec",8720-1181-5488-5545,1/25,590,2001-03-16,22.518822724161534
False,0,"37, avenue Martel
04946 Sainte Alexandrie-la-Forêt",4072-9916-4576-4881,12/25,834,2011-04-18,42.84462696783025
False,1,"197, rue Charlotte Marin
09789 Sainte Louise",2859-8968-5661-7811,8/25,652,2018-09-16,19.644079397672826
False,2,"2, rue Antoinette Blanc
84450 Henry",4944-5500-6962-4581,9/25,890,1993-10-18,30.45037645448323
True,0,"4, rue de Gosselin
61664 Sainte Véroniquedan",5061-9277-1316-8694,8/24,532,2017-09-26,59.80561259411362
False,1,"90, boulevard Bernier
86789 Perrier-la-Forêt",3140-9099-5069-9827,3/24,881,2002-05-18,28.97741273100616
True,0,"50, boulevard Potier
69172 Sainte Capucine",9111-4565-6905-4199,7/24,733,1996-02-01,20.629705681040384
True,0,"chemin de Dufour
90829 Bouvet-les-Bains",7908-9897-6638-5511,1/24,610,2008-01-07,30.858316221765914
False,1,"7, avenue Rousset
12132 HoareauVille",8523-2059-2075-5584,10/25,254,2020-10-18,25.360711841204655
False,0,"47, rue de Rivière
23352 Couturier",3624-2664-1988-4135,5/24,428,2021-10-07,21.675564681724847
True,0,"9, chemin de Marchand
88710 Saint Josette-les-Bains",6827-3824-1573-5201,11/24,668,2016-03-25,20.251882272416154
False,3,"16, chemin Hélène Huet
23900 Delmasnec",5206-1585-9394-8934,5/24,323,2019-10-24,21.100616016427104
True,0,"3, avenue Anouk Huet
26761 Huet",5192-8496-1573-5866,4/24,718,2018-10-24,27.99726214921287
True,0,"boulevard Geneviève Dijoux
69179 Gérard",4669-3325-2055-7921,7/24,723,2002-10-06,27.066392881587955
False,1,"25, boulevard Jean Gautier
39149 Humbert",3739-3784-4439-6161,4/24,162,2014-05-18,22.65571526351814
True,2,"83, boulevard Colette Lesage
20796 Boulangerdan",5599-6661-2463-6679,6/25,911,2013-02-09,18.154688569472963
True,0,"48, rue Margot Turpin
12790 Saint GenevièveVille",3240-6016-1834-8256,5/25,095,2005-07-01,22.702258726899384
True,2,"5, rue Hardy
35384 Sainte André-sur-Mer",2289-9538-6214-2771,1/24,909,2018-02-19,18.861054072553046
False,0,"52, chemin de Neveu
56681 Saint Geneviève",2433-9409-3400-6655,10/24,908,2013-09-13,24.361396303901437
True,1,"99, avenue Julien Raymond
06427 Rocher-la-Forêt",6881-2803-3708-4630,12/24,602,1994-12-17,30.0041067761807
False,1,"34, rue Colette Dias
67661 Sauvagenec",6337-3444-9262-6064,12/24,856,2019-03-13,29.738535249828885
False,0,"boulevard Franck Parent
87494 Saint Noémidan",6118-6429-7741-9257,5/24,878,2013-12-24,30.17385352498289
True,1,"5, chemin de Coulon
91585 Chauvet",5374-2711-5669-4031,5/25,136,1979-12-03,21.672826830937716
False,0,"3, chemin de Bègue
54481 Lombard",1145-6553-4256-4454,5/24,751,2021-09-03,36.33401779603012
True,3,"14, avenue de Thierry
61963 Dupont-sur-Mer",9745-2408-5829-9395,4/24,924,2009-01-26,26.5160848733744
False,0,"avenue de Bonnin
56811 Étienne-sur-Benard",4266-4910-9374-4128,5/25,909,2015-05-17,25.79876796714579
True,1,"91, rue Gabrielle Traore
68566 Mallet-les-Bains",1791-7608-1812-2382,10/24,929,2016-10-13,32.714579055441476
True,0,"78, boulevard de Guichard
20815 Lemoine-la-Forêt",9179-2116-1454-6783,7/24,705,1991-09-13,31.84120465434634
True,1,"77, rue Josette Bègue
45269 Blin",8789-9994-4103-4653,2/24,384,2019-03-28,27.928815879534564
False,1,"38, rue Maurice
02970 Bertinboeuf",3704-4434-6361-5386,12/25,837,2014-10-27,20.83504449007529
True,0,"54, chemin Hardy
69347 PayetBourg",2292-7679-5843-9753,7/24,128,2004-05-29,23.906913073237508
False,0,"4, avenue de Schmitt
75433 Sainte Colette-les-Bains",7495-1215-7800-3651,1/25,872,2008-04-01,27.603011635865844
True,0,"6, avenue Robert Lopez
36797 CharpentierBourg",1659-8924-7708-3640,2/24,630,2022-07-26,19.362080766598222
False,0,"624, chemin de Dias
04651 Rivièrenec",4099-8392-1445-4992,12/25,564,2001-02-12,28.087611225188226
True,0,"60, boulevard Morvan
85190 Raynaud-sur-Loiseau",4351-7719-4967-9418,1/24,515,2019-05-20,21.426420260095824
True,2,"chemin Payet
10998 Bouvier",7491-4310-3507-3479,12/24,981,2019-01-08,62.85010266940452
True,0,"11, avenue de Moulin
90968 Saint Julie-les-Bains",3761-3421-2810-1727,12/25,135,2013-07-09,42.18480492813142
True,0,"22, chemin de Munoz
89898 LegrandVille",5308-6472-4884-3492,8/24,424,2022-08-03,19.16769336071184
True,2,"3, boulevard Marine Julien
31282 Dumas",4884-6467-7168-1223,3/24,743,1992-08-28,31.121149897330596
False,0,"136, boulevard Thibault
08560 BarreBourg",4535-3515-4961-2639,7/25,423,1992-10-07,21.401779603011637
False,1,"chemin de Fischer
86564 Jourdan",4763-3351-9207-3974,4/25,384,2017-07-26,32.16427104722793
False,1,"1, rue Luc Fournier
31526 Morin",7344-1688-5385-6392,5/25,073,1992-09-05,24.38877481177276
True,3,"3, rue Jules Chrétien
61198 Techer",3524-2481-9244-8095,6/25,738,2022-10-25,59.671457905544145
False,0,"79, boulevard de Didier
49619 Chevalliernec",6540-2122-3571-6430,2/24,045,1995-03-20,24.594113620807665
True,1,"35, chemin Christelle Pottier
47163 Alexandre",7193-5865-5120-7160,4/24,950,2015-05-06,21.859000684462696
